
"Population estimates - small area based by single year of age - England and Wales"
"ONS Crown Copyright Reserved [from Nomis on 24 September 2019]"
"Date       :","2017"
"Gender     :","Total"

"2011 output area","mnemonic","All Ages","Aged 0 to 15","Aged 16 to 64","Aged 65+"
"E00141018","E00141018",313,75,206,32
"E00141019","E00141019",240,52,151,37
"E00141020","E00141020",341,61,248,32
"E00141021","E00141021",283,52,191,40
"E00141022","E00141022",285,47,186,52
"E00141023","E00141023",351,70,234,47
"E00141024","E00141024",328,78,202,48
"E00141025","E00141025",312,61,190,61
"E00141026","E00141026",272,48,207,17
"E00141027","E00141027",214,41,142,31
"E00141028","E00141028",268,48,175,45
"E00141029","E00141029",249,39,131,79
"E00141030","E00141030",241,29,177,35
"E00141031","E00141031",325,63,218,44
"E00141032","E00141032",381,95,260,26
"E00141033","E00141033",279,34,153,92
"E00141034","E00141034",237,23,128,86
"E00141035","E00141035",310,58,222,30
"E00141036","E00141036",227,46,127,54
"E00141037","E00141037",298,39,170,89
"E00141038","E00141038",408,43,252,113
"E00141039","E00141039",424,73,261,90
"E00141040","E00141040",367,68,187,112
"E00141041","E00141041",452,81,259,112
"E00141044","E00141044",302,45,161,96
"E00141045","E00141045",315,54,195,66
"E00141046","E00141046",332,56,197,79
"E00141047","E00141047",291,59,182,50
"E00141048","E00141048",337,69,198,70
"E00141049","E00141049",375,87,228,60
"E00141050","E00141050",269,44,156,69
"E00141051","E00141051",327,33,203,91
"E00141053","E00141053",391,77,215,99
"E00141054","E00141054",496,93,298,105
"E00141055","E00141055",244,42,156,46
"E00141056","E00141056",335,67,190,78
"E00141057","E00141057",339,97,204,38
"E00141058","E00141058",291,64,160,67
"E00141059","E00141059",261,64,157,40
"E00141060","E00141060",297,51,174,72
"E00141061","E00141061",275,47,155,73
"E00141062","E00141062",310,48,165,97
"E00141063","E00141063",309,66,171,72
"E00141064","E00141064",314,44,171,99
"E00141065","E00141065",346,36,181,129
"E00141066","E00141066",373,72,182,119
"E00141067","E00141067",370,87,169,114
"E00141068","E00141068",326,42,161,123
"E00141069","E00141069",342,66,171,105
"E00141070","E00141070",249,39,139,71
"E00141071","E00141071",330,47,177,106
"E00141072","E00141072",259,75,159,25
"E00141073","E00141073",185,29,104,52
"E00141074","E00141074",302,50,168,84
"E00141075","E00141075",271,43,132,96
"E00141076","E00141076",253,43,146,64
"E00141077","E00141077",244,36,137,71
"E00141078","E00141078",307,53,185,69
"E00141079","E00141079",307,37,187,83
"E00141080","E00141080",239,48,134,57
"E00141081","E00141081",308,60,140,108
"E00141082","E00141082",185,22,122,41
"E00141083","E00141083",111,23,67,21
"E00141084","E00141084",209,18,133,58
"E00141085","E00141085",121,18,77,26
"E00141086","E00141086",154,12,99,43
"E00141087","E00141087",281,58,124,99
"E00141088","E00141088",358,48,210,100
"E00141089","E00141089",457,62,239,156
"E00141090","E00141090",116,14,76,26
"E00141091","E00141091",515,86,319,110
"E00141092","E00141092",256,27,107,122
"E00141093","E00141093",244,29,151,64
"E00141094","E00141094",263,43,156,64
"E00141095","E00141095",123,27,77,19
"E00141096","E00141096",270,55,156,59
"E00141097","E00141097",305,67,188,50
"E00141098","E00141098",308,46,168,94
"E00141099","E00141099",300,44,172,84
"E00141100","E00141100",319,41,202,76
"E00141101","E00141101",320,48,234,38
"E00141102","E00141102",308,56,161,91
"E00141103","E00141103",262,37,125,100
"E00141104","E00141104",346,68,203,75
"E00141105","E00141105",282,25,131,126
"E00141106","E00141106",263,47,163,53
"E00141107","E00141107",247,60,121,66
"E00141108","E00141108",269,64,179,26
"E00141109","E00141109",302,60,195,47
"E00141110","E00141110",350,77,226,47
"E00141111","E00141111",219,33,138,48
"E00141112","E00141112",272,49,177,46
"E00141113","E00141113",461,124,265,72
"E00141114","E00141114",284,45,173,66
"E00141115","E00141115",330,80,202,48
"E00141116","E00141116",251,58,131,62
"E00141117","E00141117",208,23,107,78
"E00141118","E00141118",406,56,197,153
"E00141119","E00141119",327,38,138,151
"E00141120","E00141120",294,22,158,114
"E00141121","E00141121",356,101,233,22
"E00141122","E00141122",307,74,192,41
"E00141123","E00141123",308,57,168,83
"E00141124","E00141124",296,44,185,67
"E00141125","E00141125",262,44,133,85
"E00141126","E00141126",251,47,122,82
"E00141127","E00141127",266,42,146,78
"E00141128","E00141128",335,105,191,39
"E00141129","E00141129",297,80,175,42
"E00141130","E00141130",264,32,122,110
"E00141131","E00141131",272,27,154,91
"E00141133","E00141133",387,74,230,83
"E00141134","E00141134",449,106,242,101
"E00141135","E00141135",639,37,502,100
"E00141136","E00141136",230,25,91,114
"E00141137","E00141137",292,141,150,1
"E00141138","E00141138",349,78,220,51
"E00141139","E00141139",307,35,174,98
"E00141140","E00141140",341,57,193,91
"E00141141","E00141141",385,84,252,49
"E00141142","E00141142",341,122,204,15
"E00141143","E00141143",289,32,138,119
